t,ax,ay,az,gx,gy,gz
0.0,0.00048463195222017295,0.01173858697713068,-9.806325141332728,0.00030471707975443133,-0.0010399841062404957,0.0007504511958064573
0.01,-0.003646226939296428,0.0005471597978685286,-9.812389584992207,0.0009405647163912139,-0.0019510351886538365,-0.001302179506862318
0.02,0.030986385636115412,0.005404816525184231,-9.816379253233011,0.0001278404031672854,-0.0003162425923435822,-1.6801157504288797e-05
0.03,-0.03616052286376939,-0.003944171420235536,-9.818186478328478,-0.0008530439275735801,0.0008793979748628286,0.0007777919354289483
0.04,-0.01227921895076524,0.018852225974080594,-9.805055286789514,6.603069756121604e-05,0.001127241206968033,0.0004675093422520456
0.05,-0.03364890463853745,0.012376636935895621,-9.838290733171538,-0.0008592924628832382,0.00036875078408249884,-0.000958882600828999
0.06,0.013866396405319772,-0.009501504805023363,-9.804911855762086,0.0008784503013072726,-4.99259109862529e-05,-0.00018486236354526057
0.07,-0.0004981324320458007,-0.0029625366595934484,-9.802459520961982,-0.0006809295444039413,0.0012225413386740302,-0.00015452948206880215
0.08,0.0016376846183990585,0.03739458726443305,-9.80217103175971,-0.00042832782216310723,-0.00035213355048822957,0.0005323091855533487
0.09,0.004943728715400266,-0.014190421276654486,-9.799032099525272,0.00036544406436407834,0.0004127326115959884,0.00043082100300788275
0.1,-0.020471821209426457,0.023002554592531053,-9.836336969185112,0.0021416476008704615,-0.0004064150163846156,-0.0005122427290715374
0.11,-0.01687317385526845,-0.03258265632070366,-9.798257125156521,-0.0008137727282478777,0.0006159794225754957,0.0011289722927208916
0.12,-0.00847746985821343,0.01371854616498523,-9.826161815707515,-0.00011394745765487508,-0.0008401564769625281,-0.0008244812156912396
0.13,0.010629509950599567,0.011596732437072398,-9.802414044233613,0.0006505927878247011,0.0007432541712034423,0.000543154268305195
0.14,0.0006174699771143566,0.0027439836653328324,-9.82486385022996,-0.0006655097072886943,0.00023216132306671977,0.00011668580914072823
0.15,-0.021505390725225743,0.01087745202528828,-9.814023820394345,0.00021868859672901294,0.0008714287779481899,0.00022359554877468226
0.16,0.009067839247249024,0.031019769200180063,-9.815793150807806,0.0006789135630718948,6.757906948889146e-05,0.00028911939868998414
0.17,-0.012001807305325586,-0.006485664178438516,-9.805870577493799,0.0006312882258385404,-0.0014571558198556666,-0.0003196712163573013
0.18,0.012282776172101932,-0.0005677381123282594,-9.765079059917,-0.0004703726542927955,-0.0006388778482433419,-0.00027514225122668375
0.19,0.008416990299422262,0.015616487789492902,-9.80738720836908,0.001494941311234396,-0.0008658311156932432,0.0009682783545914808
0.2,0.02023662459057592,-0.0041054589282716976,-9.819534473974585,-0.0016828697716158047,-0.00033488502998577487,0.0001627530651050056
0.21,0.018106896413875122,-0.0011457709296143518,-9.801744706069492,0.0005862223313592782,0.000711226579792855,0.0007933472351999252
0.22,0.019637654616461647,0.002779669865932861,-9.809634974994703,-0.00034872507224843757,-0.0004623517926645672,0.0008579758812571539
