t,ax,ay,az,gx,gy,gz
0.0,0.010484631952220174,0.01673858697713068,-9.786325141332728,0.0004047170797544313,-0.0008399841062404957,0.0008504511958064573
0.01,0.0063537730607035724,0.0055471597978685285,-9.792389584992208,0.0010405647163912138,-0.0017510351886538364,-0.001202179506862318
0.02,0.04098638563611541,0.01040481652518423,-9.796379253233011,0.0002278404031672854,-0.00011624259234358221,8.31988424957112e-05
0.03,-0.026160522863769388,0.0010558285797644638,-9.798186478328478,-0.00075304392757358,0.0010793979748628287,0.0008777919354289483
0.04,-0.0022792189507652404,0.023852225974080595,-9.785055286789515,0.00016603069756121605,0.001327241206968033,0.0005675093422520456
0.05,-0.02364890463853745,0.017376636935895622,-9.818290733171539,-0.0007592924628832382,0.0005687507840824988,-0.0008588826008289989
0.06,0.023866396405319772,-0.004501504805023363,-9.784911855762086,0.0009784503013072726,0.0001500740890137471,-8.486236354526056e-05
0.07,0.0095018675679542,0.0020374633404065517,-9.782459520961982,-0.0005809295444039413,0.0014225413386740303,-5.4529482068802146e-05
0.08,0.011637684618399058,0.04239458726443305,-9.782171031759711,-0.00032832782216310724,-0.00015213355048822956,0.0006323091855533488
0.09,0.014943728715400267,-0.009190421276654485,-9.779032099525272,0.00046544406436407833,0.0006127326115959884,0.0005308210030078828
0.1,-0.010471821209426456,0.028002554592531054,-9.816336969185112,0.0022416476008704613,-0.00020641501638461558,-0.0004122427290715374
0.11,-0.006873173855268451,-0.02758265632070366,-9.778257125156522,-0.0007137727282478777,0.0008159794225754956,0.0012289722927208916
0.12,0.0015225301417865697,0.01871854616498523,-9.806161815707515,-1.3947457654875077e-05,-0.0006401564769625281,-0.0007244812156912395
0.13,0.02062950995059957,0.0165967324370724,-9.782414044233613,0.0007505927878247011,0.0009432541712034423,0.0006431542683051951
0.14,0.010617469977114357,0.0077439836653328325,-9.80486385022996,-0.0005655097072886943,0.0004321613230667198,0.00021668580914072823
0.15,-0.011505390725225743,0.01587745202528828,-9.794023820394345,0.00031868859672901296,0.00107142877794819,0.00032359554877468225
0.16,0.019067839247249023,0.03601976920018006,-9.795793150807807,0.0007789135630718949,0.00026757906948889147,0.00038911939868998413
